,ID_Pemain,nilai,kategori
0,25601,5.20944402132521,pemula
1,25602,13.056250680013056,menengah
2,25603,20.24371667936024,ahli
3,25604,6.62833206397563,pemula
4,25605,15.06919812860407,menengah
5,25606,19.316070068545315,ahli
6,25607,6.2947448591012956,pemula
7,25608,14.141551517789143,menengah
8,25609,20.734958111195738,ahli
9,25610,8.307692307692307,pemula
10,25611,5.499619192688501,pemula
11,25612,13.346425851376347,menengah
12,25613,20.533891850723535,ahli
13,25614,6.918507235338919,pemula
14,25615,15.299967359373301,menengah
15,25616,19.60624523990861,ahli
16,25617,6.584920030464585,pemula
17,25618,14.43172668915243,menengah
18,25619,21.025133282559025,ahli
19,25620,8.508758568164508,pemula
20,25621,5.78979436405179,pemula
21,25622,13.636601022739637,menengah
22,25623,20.824067022086826,ahli
23,25624,7.208682406702208,pemula
24,25625,15.530736590142531,menengah
25,25626,19.896420411271897,ahli
26,25627,6.875095201827874,pemula
27,25628,14.721901860515723,menengah
28,25629,21.31530845392232,ahli
29,25630,8.73952779893374,pemula
30,25631,6.07996953541508,pemula
31,25632,13.926776194102928,menengah
32,25633,21.114242193450117,ahli
33,25634,7.498857578065498,pemula
34,25635,15.761505820911763,menengah
35,25636,20.18659558263519,ahli
36,25637,7.165270373191165,pemula
37,25638,15.012077031879013,menengah
38,25639,21.605483625285608,ahli
39,25640,8.97029702970297,pemula
40,25641,6.37014470677837,pemula
41,25642,14.216951365466219,menengah
42,25643,21.40441736481341,ahli
43,25644,7.789032749428788,pemula
44,25645,15.992275051680993,menengah
45,25646,20.47677075399848,ahli
46,25647,7.455445544554454,pemula
47,25648,15.302252203242302,menengah
48,25649,21.8956587966489,ahli
49,25650,9.201066260472201,menengah
50,25651,6.66031987814166,pemula
51,25652,14.507126536829508,menengah
52,25653,21.694592536176696,ahli
53,25654,8.079207920792078,pemula
54,25655,16.22304428245022,menengah
55,25656,20.766945925361767,ahli
56,25657,7.745620715917745,pemula
57,25658,15.592427374605592,menengah
58,25659,22.185833968012187,ahli
59,25660,9.431835491241433,menengah
60,25661,6.95049504950495,pemula
61,25662,14.797301708192798,menengah
62,25663,21.984767707539987,ahli
63,25664,8.369383092155369,pemula
64,25665,16.453813513219455,menengah
65,25666,21.05712109672506,ahli
66,25667,8.035795887281036,pemula
67,25668,15.882602545968883,menengah
68,25669,22.476009139375478,ahli
69,25670,9.662604722010663,menengah
70,25671,7.240670220868241,pemula
71,25672,15.087476879556089,menengah
72,25673,22.27494287890328,ahli
73,25674,8.65955826351866,pemula
74,25675,16.684582743988685,menengah
75,25676,21.347296268088346,ahli
76,25677,8.325971058644326,pemula
77,25678,16.17277771733217,menengah
78,25679,22.766184310738765,ahli
79,25680,9.893373952779895,menengah
80,25681,7.530845392231532,pemula
81,25682,15.377652050919377,menengah
82,25683,22.565118050266566,ahli
83,25684,8.94973343488195,pemula
84,25685,16.915351974757915,menengah
85,25686,21.637471439451637,ahli
86,25687,8.616146230007615,pemula
87,25688,16.462952888695465,menengah
88,25689,23.056359482102057,ahli
89,25690,10.124143183549124,menengah
90,25691,7.821020563594821,pemula
91,25692,15.667827222282668,menengah
92,25693,22.855293221629857,ahli
93,25694,9.23990860624524,menengah
94,25695,17.146121205527148,ahli
95,25696,21.92764661081493,ahli
96,25697,8.906321401370906,pemula
97,25698,16.753128060058753,menengah
98,25699,23.346534653465348,ahli
99,25700,10.354912414318356,menengah
